code,kind,name_en,name_ar,summary,pdf_link,estimated_cost,estimated_time,required_documents,step_by_step_guide,issuing_authorities,notes,estimated_cost_ar,estimated_time_ar,required_documents_ar,step_by_step_guide_ar,issuing_authorities_ar,notes_ar
REG-011,regulation,Technical Regulation for Small Photovoltaic Solar Energy Systems,اللائحة الفنية لأنظمة الطاقة الشمسية الكهروضوئية الصغيرة,"This technical regulation (Second Edition, approved August 2019, published March 2020) establishes mandatory safety and conformity requirements for small photovoltaic solar energy systems and their components sold in Saudi Arabia. It covers PV modules, inverters, cables and conductors, switchgear and control equipment, and interface protection devices (HS codes: 8504, 8541, 8544). Suppliers must register products with SASO and obtain a national conformity certificate aligned with the IECEE CB Scheme through an accepted conformity assessment body. Manufacturers must have ISO 9001 and ISO 14001 certifications. Products must comply with an extensive list of IEC, SASO, EN, and UL standards covering design qualification, safety, EMC, and performance. Suppliers must maintain a technical file, submit a Supplier Declaration of Conformity, and cooperate with regulatory and market surveillance authorities. Transitional provisions allow 6 months for compliance and 1 year for trading of non-compliant products from publication date.

---",,,,,,,,,,,,,
REG-012,regulation,Technical Regulation for Simple Pressure Vessels,اللائحة الفنية لأوعية الضغط البسيطة,"This SASO Technical Regulation for Simple Pressure Vessels (issued June 2022, published September 2022) establishes mandatory safety and conformity requirements for welded simple pressure vessels designed to contain air or nitrogen under internal pressure exceeding 0.5 bar. The regulation covers steel, aluminium, and aluminium alloy vessels with maximum operating pressure up to 30 bar and PS×V up to 3000 bar*litre, operating between -50°C and 300°C (steel) or 100°C (aluminium). Excluded are nuclear, marine/aviation propulsion devices, and SFDA-regulated products. Suppliers must meet technical, metrological, environmental, and packaging requirements. Conformity assessment is two-tiered: Type 1a (Type Approval) for PS×V ≤ 50 bar*litre; Type 3 (Type Approval + Product Safety Management System certification) for PS×V > 50 bar*litre. Both routes require certificates from SASO-accepted conformity assessment bodies. Vessels must bear required markings (PS, Tmax, Tmin, capacity, manufacturer identification) in Arabic. Non-compliant products are subject to withdrawal, recall, and penalties under Saudi commercial fraud regulations. A transitional period of 180 days applies for implementation, with 365 days for suppliers to correct their market status.

---",,,,,,,,,,,,,
REG-013,regulation,Technical Regulation for Cableway Installations,اللائحة الفنية لتركيبات العربات المعلقة,"This technical regulation establishes mandatory safety and conformity requirements for cableway installations designed to transport persons in Saudi Arabia, including cable cars, chairlifts and drag lifts, covering new installations, modifications requiring new authorization, subsystems and safety components (HS code 8428). The regulation defines essential requirements for design, construction, commissioning and operation covering structural integrity, safety devices, braking systems, drive systems, vehicles and operational safety. Suppliers must obtain a Type 3 conformity certificate per ISO/IEC 17067 from an SASO-accepted body, operate a certified Product Safety Management System, obtain a pre-commissioning inspection certificate from an ISO 17020-accredited inspection body, and maintain technical documentation for 10 years. Fourteen referenced standards (EN/SASO EN series) cover all aspects from ropes and structures to electrical equipment and fire protection. The regulation was approved by SASO Board Decision No. 192 dated 26/12/1444H and published in the Official Gazette on 09/02/1445H, with a 180-day implementation period and 365-day market correction period.

---",,,,,,,,,,,,,
REG-014,regulation,,اللائحة الفنية لتصنيف مراكز صيانة وإصلاح المركبات,"This SASO Technical Regulation (2nd Edition, approved March 2022) establishes a mandatory star-based classification system (1 to 4 stars) for all vehicle maintenance and repair facilities operating in Saudi Arabia, excluding military and security sector facilities. Facilities are first classified by activity type (Categories A–F covering full-service centers, mechanical repair, bodywork, specialized systems, combined services, and quick-service centers). Star ratings are determined by a scoring formula across six criteria: location/services, health & safety, documentation, spare parts management, staff training/competency, and equipment. Mandatory safety requirements per SASO-1334 apply from 2-star upward. Conformity assessment for 1-star requires only self-declaration and SASO document review; 2-star and above require on-site inspection by an SASO-accepted inspection body with annual surveillance. Classification certificates are valid for 3 years. Non-compliance can result in suspension, downgrade, or revocation of the classification certificate.

---",,,,,,,,,,,,,
REG-015,regulation,Technical Regulation for Ornaments and Accessories,اللائحة الفنية لحلي الزينة والإكسسوارات,"This technical regulation issued by SASO covers ornaments and accessories (حلي الزينة والإكسسوارات) made from metals, plastics, glass, or textiles. It excludes precious metals, jewelry, plating, and their workpieces. The regulation establishes mandatory general, technical, chemical, environmental, and packaging requirements. Key chemical requirements include limits on heavy metals (lead, cadmium, nickel). Products must undergo Type 1a conformity assessment (Type Approval) per ISO/IEC 17067 through a SASO-accepted conformity assessment body. Suppliers must maintain a technical file with a Supplier Declaration of Conformity and risk assessment document. Arabic labeling with supplier details, origin, and safety warnings is mandatory. The regulation was approved on 30 June 2022 and published in the Official Gazette on 23 September 2022, with a 180-day implementation period and a 365-day correction period for suppliers.

---",,,,,,,,,,,,,
REG-016,regulation,"Technical Regulation for Front, Rear and Side Barriers for Trucks and Trailers",اللائحة الفنية للحواجز الأمامية والخلفية والجانبية للشاحنات والمقطورات,"This technical regulation (Second Edition, approved June 2022, published September 2022) establishes mandatory safety requirements for front, rear and side underrun protective barriers for trucks, trailers and semi-trailers (categories N2, N3, O3, O4) with maximum weight exceeding 3.5 tons in Saudi Arabia. It excludes off-road trucks, military vehicles, and vehicles where barrier installation is impractical. Suppliers must obtain type approval certificates through SASO or accredited conformity assessment bodies per the Type 1a procedure of ISO/IEC 17067. Barriers must comply with Saudi standards SASO 2955, 2956, 2957, and reflective markings per SASO 2913. Trucks and trailers without compliant barriers may not obtain or renew vehicle registration. Non-compliant products are subject to withdrawal, recall, and penalties under the commercial fraud law.

---",,,,,,,,,,,,,
REG-017,regulation,Technical Regulation for Lubricating and Greasing Oils,اللائحة الفنية لزيوت التزييت والتشحيم,"This is the second edition of the Saudi Technical Regulation for Lubricating and Greasing Oils, approved by SASO Board of Directors in September 2023 and published in the Official Gazette in October 2023. It covers a wide range of lubricating oils including engine oils for gasoline and diesel vehicles, base oils, brake fluids, automatic transmission fluids, hydraulic oils, gear oils, greases, insulating oils, compressor oils, turbine oils, CLP and CL lubricants, two-stroke engine oils, heat treatment oils, and refrigerant compressor oils. Products covered fall under HS codes 2710, 2713, 3403, and 3819. Suppliers must comply with 40 referenced standards listed in Annex 1, obtain a conformity certificate through Type 3 assessment (per ISO/IEC 17067) from a SASO-accepted body, maintain an ISO 14001-certified environmental management system, and comply with labeling requirements per GSO 1810. The conformity assessment involves Product Safety Management System evaluation and approval. Transition period allows 180 days for implementation and 365 days for market correction after Official Gazette publication.

---",,,,,,,,,,,,,
REG-018,regulation,Technical Regulation for Machinery Safety - Part 4: Sawing and Cutting Machines,اللائحة الفنية لسلامة الآلات - الجزء الرابع: آلات النشر والتقطيع,"This is the Technical Regulation for Machinery Safety - Part 4: Sawing and Cutting Machines, issued by SASO (Board Meeting No. 188, approved 2023-01-05, published in Official Gazette 2023-02-17). It covers sawing and cutting machines, related safety components, and interchangeable equipment, including hand-held and hand-guided variants, falling under HS codes 8420, 8439, 8444, 8461, 8464, and 8465. Suppliers must conduct risk assessments, design and manufacture machines to meet essential health and safety requirements detailed in Annex 2, and obtain Type Approval certification (Type 1a per ISO/IEC 17067) from a SASO-accepted conformity assessment body. A Supplier Declaration of Conformity and technical documentation must accompany products. Safety components and interchangeable equipment for already-certified machine models supplied by the manufacturer or legal representative are exempt from separate conformity assessment. Labelling and instructions must be in Arabic. Non-compliant products may be withdrawn from market, and violations are subject to penalties under Saudi anti-commercial fraud regulations. The regulation applies 180 days from publication, with a 365-day transition period for suppliers to rectify their market status.

---",,,,,,,,,,,,,
REG-019,regulation,Technical Regulation for Machinery Safety - Part 1: Hand-held and/or Hand-guided Machinery,اللائحة الفنية لسلامة الآلات الجزء الأول: الآلات المحمولة و/أو الموجهة باليد,"This technical regulation establishes mandatory health and safety requirements for hand-held and/or hand-guided machinery, their safety components, and interchangeable equipment placed on the Saudi market. It covers machinery under HS codes 8433 and 8467. Suppliers must conduct risk assessments, comply with general and specific safety requirements detailed in Annex 2, and reference 82 product-specific Saudi standards listed in Annex 1. Conformity assessment is performed via Type Approval (Type 1a per ISO/IEC 17067) by an SASO-accepted body. Required documentation includes a Type Approval Certificate, Supplier Declaration of Conformity, technical file, and instructions manual. The regulation was adopted at SASO Board meeting No. 176 on 09/07/2020 and published in the Official Gazette on 11/09/2020, with a six-month transition period for compliance and prohibition on non-compliant products after one year from publication.

---",,,,,,,,,,,,,
REG-020,regulation,Technical Regulation for Machine Safety - Part 3: Lifting Equipment,اللائحة الفنية لسلامة الآلات - الجزء الثالث: معدات الرفع,"This regulation establishes mandatory safety requirements for lifting equipment and accessories sold in Saudi Arabia, covering hoists (HS 8425), cranes (HS 8426), fork-lift trucks (HS 8427), and other lifting/handling machinery (HS 8428), along with their safety components and interchangeable equipment. Excluded are lifting equipment with speed ≤0.15 m/s, cable car systems, military equipment, mechanical escalators, and temporary construction site elevators. Suppliers must conduct risk assessments, comply with 172 referenced SASO/GSO/ISO/EN standards, obtain Type 1a conformity certificates from accepted bodies per ISO/IEC 17067, and have an effective quality management system (ISO 9001). Used lifting equipment and newly installed equipment require inspection certificates from ISO/IEC 17020-accredited bodies accepted by SASO. Periodic inspections are mandatory during service life. Products must be labeled in Arabic with maximum working load, and instructions must be provided in Arabic. Violations are subject to penalties under the Anti-Commercial Fraud Law.

---",,,,,,,,,,,,,
REG-021,regulation,,اللائحة الفنية للصهاريج – الجزء الأول: صهاريج نقل المنتجات البترولية,"This regulation (م-إ-١٧١-١٩-٦-٠٣), approved by SASO Board in June 2019 and published in the Official Gazette in August 2019, establishes mandatory requirements for the design, manufacture, inspection and testing of petroleum products transport tanks (tank trucks and tank trailers) in Saudi Arabia. Suppliers must obtain Type Approval (Type 1a per ISO/IEC 17067) from an SASO-accepted conformity assessment body and must hold a valid quality management system (ISO 9001). Tanks undergo pre-service and annual periodic inspections by an accepted body, which affixes a QR-coded inspection sticker. Referenced Saudi standards include SASO-2288, SASO-1285, SASO-1287, SASO-2809, SASO-1284, and SASO-469. No HS codes are listed in the regulation. Compliance is required within 6 months of publication; non-compliant products may not be traded after 2 years from publication date.

---",,,,,,,,,,,,,
REG-022,regulation,Technical Regulation for Child Restraint Systems and Strollers,اللائحة الفنية لعربات وكراسي الأمان للأطفال,"This technical regulation issued by SASO (Board Meeting No. 184, dated 28/08/1443H / 31/03/2022, published in Official Gazette 19/10/1443H) establishes mandatory safety and quality requirements for wheeled child conveyances (strollers, prams, pushchairs) and child restraint systems (car seats) sold in Saudi Arabia. The regulation covers chemical requirements (restrictions on hazardous substances in materials and paints), mechanical requirements (wheel stability, braking, child restraint harnesses, folding lock safety, structural integrity), installation requirements for car seats (classified into four age/weight categories per Annex 2), metrological requirements (SI units), environmental requirements, packaging requirements, and labeling requirements (Arabic language, mandatory warnings). Conformity assessment is conducted via Type 1a procedure per ISO/IEC 17067, requiring type approval certification from a SASO-accepted third-party conformity assessment body, accompanied by a Supplier Declaration of Conformity and a risk assessment document. Products holding the Saudi Quality Mark or equivalent are deemed compliant. The regulation applies within 180 days of publication, with a 365-day grace period for market correction.

---",,,,,,,,,,,,,
REG-023,regulation,Technical Regulation for Auto Spare Parts,اللائحة الفنية لقطع غيار السيارات,"This technical regulation (م.إ-١٦٢-١٧-٠٤-٠٢, First Edition – Amendment 1) issued by SASO governs new automotive spare parts sold in Saudi Arabia, whether manufactured domestically or imported. It covers spare parts under 11 HS codes (4010, 4016, 7007, 7009, 8301, 8302, 8421, 8511, 8512, 8544, 8708), excluding tires, car batteries, and safety barriers (covered under separate regulations). Suppliers must ensure parts comply with 67 referenced standards, maintain quality management systems (ISO/TS 16949 or equivalent), and obtain conformity certificates from SASO-accepted bodies via Type 3 assessment per ISO/IEC 17067. Vehicle manufacturers and their legal representatives may self-declare conformity via SDoC. Packaging must meet specific labeling requirements in Arabic. Market surveillance authorities and regulatory bodies may conduct random sampling and withdraw non-compliant products. Violations are subject to penalties under the Commercial Fraud Prevention Law.

---",,,,,,,,,,,,,
REG-024,regulation,"Technical Regulation for Machinery Safety, Part Two: Mobile Machinery and Heavy Equipment",اللائحة الفنية لسلامة الآلات، الجزء الثاني: الآلات المتنقلة ومعدات الأشغال الثقيلة,"This is the Technical Regulation for Machinery Safety, Part Two: Mobile Machinery and Heavy Equipment, issued by SASO (Board Meeting No. 180, dated 08/26/1442H / 04/08/2021) and published in the Official Gazette on 10/09/1442H. It covers mobile machinery, heavy construction equipment, safety components and interchangeable equipment including earth-moving machinery, agricultural tractors and machinery, rock drilling equipment, road construction machinery, and associated batteries (HS codes 8424, 8429, 8430, 8431, 8432, 8433, 8479). Suppliers must meet essential health and safety requirements through risk analysis, appropriate design, protective measures, and informational safeguards as detailed in Annex 2. Technical requirements are specified in 139 referenced standards listed in Annex 1-أ. Conformity is demonstrated through Type 1a assessment per ISO/IEC 17067, requiring a Type Approval Certificate from an SASO-accepted body plus a Supplier Declaration of Conformity. Used machinery requires an inspection certificate. Safety components and spare parts from manufacturers or their official representatives for certified models are exempt from conformity assessment. Violations are subject to penalties under the Commercial Fraud Prevention Law. Suppliers had 180 days from publication to comply and 365 days to correct market status.

---",,,,,,,,,,,,,
REG-025,regulation,"Technical Regulation for Doors, Windows and their Accessories",اللائحة الفنية للأبواب والنوافذ وملحقاتها,"This technical regulation issued by SASO (Board Decision 177, approved October 2020, amended June 2023) establishes mandatory requirements for doors, windows, and their accessories used in buildings in Saudi Arabia. It covers products across HS codes 3925, 4418, 6914, 7308, 7508, 7602, 7610, 8301, and 8302. Basic requirements address fitness for purpose, sustainable resource use, fire safety, hygiene and environmental health, safety in use, and energy efficiency/thermal insulation. Two conformity assessment procedures are required: Type 3 (ISO/IEC 17067) with production process management system certification by an accepted body for fire-resistant products, and Type 1a (ISO/IEC 17067) type approval for all other products. Suppliers must obtain conformity certificates from SASO-accepted bodies, issue supplier declarations of conformity, and maintain technical documentation for 10 years. Products with Saudi Quality Mark are deemed compliant. Non-compliance may result in product withdrawal, recall, certificate cancellation, and penalties under the Anti-Commercial Fraud Law.

---",,,,,,,,,,,,,
REG-026,regulation,Technical Regulation for Gas Appliances and Their Accessories,اللائحة الفنية للأجهزة التي تعمل بالغاز وملحقاتها,"This technical regulation (issued by SASO, approved at Board Meeting No. 156, published in Official Gazette with Amendment 3 on 16/02/2024) establishes mandatory safety and performance requirements for LPG-fuelled gas appliances and their accessories intended for cooking, heating, water heating, cooling and lighting, as well as accessories including safety equipment, monitoring and control devices, and small directly-connected LPG cylinders. Industrial-use appliances are excluded. Suppliers must obtain the Saudi Quality Mark through an SASO-accepted conformity assessment body, prepare a technical file containing a Supplier Declaration of Conformity and risk assessment, and ensure compliance with 25 referenced Saudi/international standards covering domestic cookers, heaters, water heaters, pressure regulators, gas cylinders, hoses, valves, and catering equipment. The regulation covers HS code categories including gas containers, cooking appliances, water heaters, valves, and pressure regulators. Non-compliance may result in product withdrawal, recall, export, destruction, certificate cancellation, and penalties under the Commercial Fraud Prevention Law.

---",,,,,,,,,,,,,
REG-027,regulation,,اللائحة الفنية للأجهزة الكهربائية والمعدات المعدّة للاستخدام في الأجواء القابلة للانفجار,"This is the Saudi technical regulation for electrical equipment and devices intended for use in potentially explosive atmospheres, issued by SASO (Board Decision No. 194, dated 13/03/1445H / 28/09/2023), published in the Official Gazette on 03/05/1445H (17/11/2023M). The regulation covers equipment, protective systems, safety devices, control/regulation devices used outside explosive atmospheres, and components intended for incorporation into such equipment. It excludes medical devices, military equipment, personal protective equipment (covered by a separate regulation), maritime vessels, transport vehicles (except those designed for explosive atmospheres), and domestic appliances with rare gas leak risk. Equipment is classified into Group I (mining) with categories M1 and M2, and Group II (other hazardous locations) with categories 1, 2, and 3, each requiring different levels of explosion protection. Suppliers must obtain a SASO conformity certificate, prepare a Supplier Declaration of Conformity, and provide a risk assessment document. The regulation references 116 standards covering Ex equipment, explosion prevention, detection equipment, and related applications. Compliance enforcement is carried out by regulatory authorities and market surveillance authorities with powers to withdraw, recall, and penalize non-compliant products. Transitional provisions allow 365 days for implementation and 548 days for suppliers to correct market status.

---",,,,,,,,,,,,,
REG-028,regulation,,اللائحة الفنية الخليجية للأجهزة والمعدات الكهربائية منخفضة الجهد,"This is the second edition of the Gulf Technical Regulation for Low Voltage Electrical Equipment and Appliances (BD-142004-01), replacing the first edition (BD07070503) dated 2007. It applies to all electrical and electronic equipment designed for use at rated voltages between 50-1000V AC or 75-1500V DC, with specific exclusions listed in Annex 2 (e.g., explosion-proof equipment, medical radiation equipment, elevator electrical parts, electricity meters, electric fence controllers, radio interference equipment, and specialized equipment for ships/aircraft/railways). The regulation establishes mandatory basic safety requirements covering protection from electrical and non-electrical hazards, electromagnetic compatibility (EMC) requirements, country-specific voltage/frequency/plug standards for all 7 GCC member states plus Yemen, and clearly defines obligations for all economic operators (manufacturers, authorized representatives, importers, distributors). Conformity assessment follows a two-tier risk-based approach: List 1 products require manufacturer self-declaration with technical documentation; List 2 products require mandatory third-party type examination by a Notified Body with a Type Examination Certificate reviewed at least every 3 years. IECEE CB Scheme certification is accepted as an equivalent conformity assessment path. All products must bear the Gulf conformity mark and be accompanied by Arabic-language safety instructions. Declarations of conformity and technical documentation must be retained for 10 years. The regulation is effective from 1 July 2016.

---",,,,,,,,,,,,,
REG-029,regulation,Technical Regulation for Footwear and Accessories,اللائحة الفنية للأحذية وملحقاتها,"This technical regulation issued by SASO (approved at Board Meeting No. 177, dated 28/02/1442H, published in Official Gazette on 12/04/1442H) establishes mandatory safety, quality, labelling, and conformity assessment requirements for all types of footwear (leather, textile, plastic, or mixed materials) placed on the Saudi market, covering HS codes 6401–6406 and certain classified items. Excluded are medical footwear and footwear classified as children's toys. Professional/safety footwear is additionally subject to the PPE Technical Regulation. Footwear made from or incorporating religiously prohibited leathers is banned. Suppliers must obtain a conformity certificate from an accepted CAB: Type 3 (production process assessment) for infant footwear (under 36 months), and Type 1a (Type Approval) for all other footwear. A Supplier Declaration of Conformity must accompany each approved product type. Technical documentation must be retained for 10 years. Non-compliance is subject to penalties under the Anti-Commercial Fraud Law and consumer protection legislation. A 6-month transition period applies for compliance, with a maximum 1-year period for trading of non-compliant existing stock.

---",,,,,,,,,,,,,
